Référence du modèle;Taille; Code EAN ;Désignation;Collection;Segment;Quantités BL;Date Expe 
B220PBLC;240; 3 760 078 297 357 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;11;11/03/2025
B220PBLC;260; 3 760 078 297 364 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;11;11/03/2025
B220PBLC;280; 3 760 078 297 371 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;3;11/03/2025
B220PJAU;220; 3 700 378 304 614 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;8;11/03/2025
B220PJAU;240; 3 760 078 297 401 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;8;11/03/2025
B220PJAU;260; 3 760 078 297 418 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;8;11/03/2025
B220PJAU;280; 3 760 078 297 425 ;CLUB COLOR BELT POLYBAG PACK;   Q125;ACCESSOIRES;8;11/03/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;30;31/01/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;43;10/03/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;110;13/03/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;150;19/03/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;650;21/03/2025
B75806;36; 4 059 809 046 203 ;SAMBA OG;   Q325;CHAUSSURES;200;24/03/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;330;31/01/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;92;10/03/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;660;13/03/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;820;19/03/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;400;21/03/2025
B75806;38; 4 059 809 047 125 ;SAMBA OG;   Q325;CHAUSSURES;300;24/03/2025
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;120;31/01/2025
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;20;10/03/2025
