ZONE;Pays;Type Entité;Catégorie Entité;Code Entité;Enseigne;Dispatch Mag ;Poids repartition (PVP Base article) ;Date debut ;Date fin ;Devise;Taux € / Devise;Taux TVA;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1115;CITY SPORT;A;1,00%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1118;CITY SPORT;A;1,83%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1120;COURIR;A;2,19%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1130;CITY SPORT;A;0,98%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1131;DESTOCKAGE;A;0,32%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1132;GO SPORT;A;1,30%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1134;CITY SPORT;A;1,34%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CÔTE D'IVOIRE;Magasin;Sport;1199;DESTOCKAGE;A;0,19%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
MGH;MAROC;Magasin;Sport;1201;CITY SPORT;A;0,26%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1202;CITY SPORT;A;0,66%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1203;CITY SPORT;A;0,85%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1204;CITY SPORT;A;0,28%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1206;CITY SPORT;A;0,34%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1209;GO SPORT;A;0,72%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1210;GO SPORT;A;1,14%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1211;CITY SPORT;A;0,32%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1213;COURIR;A;0,78%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1214;COURIR;A;0,46%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1215;COURIR;A;0,35%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1216;COURIR;A;0,81%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1218;CITY SPORT;A;0,37%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1219;GO SPORT;A;0,76%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1220;GO SPORT;A;0,49%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1229;COURIR;A;0,25%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1230;COURIR;A;1,06%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1231;GO SPORT;A;1,02%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1237;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1238;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1239;DESTOCKAGE;A;0,27%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1240;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1250;DESTOCKAGE;A;0,14%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
MGH;MAROC;Magasin;Sport;1299;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;DH;10,88;20;;;;;;
AFR;CONGO;Magasin;Sport;1312;CITY SPORT;A;0,90%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CONGO;Magasin;Sport;1313;CITY SPORT;A;0,82%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CONGO;Magasin;Sport;1314;GO SPORT;A;0,70%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CONGO;Magasin;Sport;1390;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CONGO;Magasin;Sport;1391;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CONGO;Magasin;Sport;1399;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1607;CITY SPORT;A;0,50%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1608;CITY SPORT;A;0,80%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1626;GO SPORT;A;1,36%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1634;CITY SPORT;A;0,54%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1635;DESTOCKAGE;A;0,34%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1697;DESTOCKAGE;A;0,20%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
