Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
GY9574;NMD_R1 W;CHAUSSURES;ADIDAS ORIGINALS FTW WOMEN;150;C;A;X;;X;
GY9629;GRAND COURT BEYOND;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW MEN;70;B;A;;X;;
GZ0662;VENTICE;CHAUSSURES;ADIDAS CORE SPORT FTW MEN;80;C;A;X;X;;
GZ0938;FORUM EXHIBIT LOW;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;95;B;A;X;;X;
GZ3381;OWNTHEGAME 2.0 K;CHAUSSURES;SPORTSWEAR BASKETBALL FTW KIDS;55;C;A;X;X;;
GZ5299;ADVANTAGE;CHAUSSURES;SPORTSWEAR FTW MEN;80;A;A;X;X;;X
GZ6442;WEB BOOST;CHAUSSURES;ADIDAS RUNNING FTW MEN;160;B;A;X;X;;
GZ6704;Tensaur Run 2.0 CF I;CHAUSSURES;ADIDAS CORE SPORT FTW KIDS;33;B;A;X;X;;
H01877;SAMBA VEGAN;CHAUSSURES;OTHER SPECIALTY SPORTS FTW ALL;130;A;A;X;;X;
H01878;SAMBA VEGAN;CHAUSSURES;OTHER SPECIALTY SPORTS FTW ALL;130;A;A;X;;X;
H06417;OWNTHEGAME 2.0 K;CHAUSSURES;SPORTSWEAR BASKETBALL FTW KIDS;55;A;A;;X;;
H09114;BECKENBAUER TP;TEXTILE;ADIDAS ORIGINALS APP MEN;60;B;A;X;;X;
H28914;M SERENO PT;TEXTILE;SPORTSWEAR APP MEN;45;A;A;X;X;;
H28929;M SERENO PT;TEXTILE;FOOTBALL/SOCCER;45;B;A;X;X;;
H68621;STAN SMITH J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
HA0381;BLOCK CLX SL;TEXTILE;ADIDAS SWIM APP MEN;35;B;A;X;X;;
HA0394;LINEAGE CLX SL;TEXTILE;ADIDAS SWIM APP MEN;38;B;A;;X;;
HA0409;LINEAGE CLX SL;TEXTILE;ADIDAS SWIM APP MEN;38;B;A;;X;;
HC0330;MTS Wvn Hooded;TEXTILE;ADIDAS SPORTSWEAR APP MEN;85;B;A;;X;;
HE2228;MTS Cot Non-Hod;TEXTILE;ADIDAS SPORTSWEAR APP MEN;85;C;A;;X;;
HE4682;OUTLINE LOGO T;TEXTILE;ADIDAS ORIGINALS APP MEN;30;B;A;X;;X;
HE4683;OUTLINE LOGO T;TEXTILE;ADIDAS ORIGINALS APP MEN;30;B;A;X;;X;
HF3940;AFA PRE PNT;TEXTILE;ADIDAS FOOTBALL APP LICENSED MEN;70;B;A;;X;;
HF3973;DFB TR TOP;TEXTILE;ADIDAS FOOTBALL APP LICENSED MEN;65;B;A;;X;;
