Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
HZ0747;PL TEE;TEXTILE;ORIGINALS APP MEN;40;C;A;X;;;
HZ1294;TIRO LGE TB;ACCESSOIRES;FOOTBALL ACC HW ALL;30;C;A;X;X;;
HZ1391;W Logo Tee;TEXTILE;OUTDOOR APP WOMEN;35;C;A;;X;;
HZ1399;TX Logo Tee;TEXTILE;OUTDOOR APP MEN;35;C;A;;X;;
HZ1400;TX Logo Tee;TEXTILE;OUTDOOR APP MEN;35;C;A;;X;;
HZ1528;CESS STO MS BRA;TEXTILE;TRAINING APP WOMEN;45;C;A;X;X;;
HZ1580;a X MM CAP A.R.;ACCESSOIRES;TRAINING ACC HW ALL;25;C;A;X;X;;
HZ1584;a X MM SOCK 1PP;ACCESSOIRES;TRAINING ACC HW ALL;13;C;A;X;X;;
HZ2040;AFC D4GMD FZHD;TEXTILE;FOOTBALL APP LICENSED MEN;110;C;A;X;X;;
HZ2051;AFC D4GMD PNT;TEXTILE;FOOTBALL APP LICENSED MEN;80;C;A;X;X;;
HZ2167;AFC TR PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;A;A;X;X;;X
HZ2171;AFC TR TOP Y;TEXTILE;FOOTBALL APP LICENSED KIDS;65;B;A;X;X;;
HZ2178;AFC TR PNT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;60;C;A;X;X;;X
HZ2179;AFC TR SHO;TEXTILE;FOOTBALL APP LICENSED MEN;45;C;A;X;X;;
HZ2181;AFC TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;B;A;X;X;;X
HZ2183;AFC TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
HZ2190;AFC TR JSY Y;TEXTILE;FOOTBALL APP LICENSED KIDS;45;C;A;X;X;;
HZ2193;AFC PRESHI;TEXTILE;FOOTBALL APP LICENSED MEN;70;C;A;X;X;;
HZ2219;M LIN TR TT TS;TEXTILE;SPORTSWEAR APP MEN;75;C;A;X;X;;
HZ2220;M 3S TR TT TS;TEXTILE;SPORTSWEAR APP MEN;75;B;A;X;X;;
HZ2258;W LINEAR TS;TEXTILE;SPORTSWEAR APP WOMEN;75;B;A;X;X;;
HZ2914;SPIDER-MAN BPK;ACCESSOIRES;TRAINING ACC HW ALL;30;B;A;;X;;
HZ2918;BRAND LOVE 3PP;ACCESSOIRES;TRAINING ACC HW ALL;15;C;A;;X;;
HZ2919;DANCE BACKPACK;ACCESSOIRES;TRAINING ACC HW ALL;30;C;A;;X;;
HZ2920;BRAND LOVE BP;ACCESSOIRES;TRAINING ACC HW ALL;30;C;A;;X;;
HZ3058;M GG 3BAR PT;TEXTILE;TRAINING APP MEN;65;C;A;X;X;;
HZ3095;TR-ES BASE T;TEXTILE;TRAINING APP MEN;25;B;A;X;X;;
HZ3101;TR-ES MTBR LSHD;TEXTILE;TRAINING APP MEN;50;B;A;;X;;
HZ3103;TR-ES WV SHO;TEXTILE;TRAINING APP MEN;30;B;A;;X;;
HZ4167;TIRO CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;20;B;A;X;X;;
HZ4168;TIRO CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;20;B;A;X;X;;
HZ4398;aXMM SHOPPER;ACCESSOIRES;TRAINING ACC HW ALL;40;B;A;;X;;
HZ4429;ESS 3S MID D J;TEXTILE;SPORTSWEAR APP MEN;150;B;A;X;X;;
HZ4431;ESS 3S LITE D J;TEXTILE;SPORTSWEAR APP MEN;120;C;A;X;X;;
HZ4510;RUN IT BOS SHO;TEXTILE;RUNNING APP MEN;35;C;A;X;X;;
HZ4511;RUN IT BOS LS;TEXTILE;RUNNING APP MEN;50;C;A;X;X;;
HZ4512;RUN IT BOS TEE;TEXTILE;RUNNING APP MEN;35;C;A;X;X;;
HZ4513;RUN IT TIGHT;TEXTILE;RUNNING APP MEN;50;C;A;X;X;;
HZ4974;JUVE D4GMD PNT;TEXTILE;FOOTBALL APP LICENSED MEN;80;C;A;X;X;;
HZ4982;JUVE D4GMD FZHD;TEXTILE;FOOTBALL APP LICENSED MEN;110;C;A;X;X;;
HZ5033;JUVE PRESHI;TEXTILE;FOOTBALL APP LICENSED MEN;70;C;A;X;X;;
HZ5042;JUVE TK SUIT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;120;C;A;X;X;;
HZ5044;JUVE TR PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;C;A;X;X;;
HZ5045;JUVE TR TOP Y;TEXTILE;FOOTBALL APP LICENSED KIDS;65;C;A;X;X;;
HZ5049;JUVE TR PNT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;60;C;A;X;X;;
HZ5051;JUVE TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
HZ5052;JUVE TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
HZ5053;JUVE TR JSY Y;TEXTILE;FOOTBALL APP LICENSED KIDS;45;C;A;X;X;;
HZ5055;JUVE TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;C;A;X;X;;
HZ5056;JUVE TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;C;A;X;X;;
HZ5663;TR-ES MIN T;TEXTILE;TRAINING APP WOMEN;25;C;A;X;X;;
HZ5709;BIG BAFFLE C;TEXTILE;SPORTSWEAR APP MEN;300;C;A;X;X;;
HZ5723;ESS L D H J;TEXTILE;SPORTSWEAR APP MEN;130;C;A;X;X;;
HZ5724;W ESS L D HO J;TEXTILE;SPORTSWEAR APP WOMEN;130;B;A;X;X;;
HZ5726;W ESS 3S L D J;TEXTILE;SPORTSWEAR APP WOMEN;120;B;A;X;X;;
HZ5730;ESS LITE DOWN J;TEXTILE;SPORTSWEAR APP MEN;120;C;A;X;X;;
HZ5734;W HO FUR PA;TEXTILE;SPORTSWEAR APP WOMEN;170;C;A;X;X;;
HZ5740;W ALL SZN G SWT;TEXTILE;SPORTSWEAR APP WOMEN;70;C;A;X;X;;
HZ5744;W 3S FL SWT;TEXTILE;SPORTSWEAR APP WOMEN;55;C;A;X;X;;
HZ5753;W 3S FL C PT;TEXTILE;SPORTSWEAR APP WOMEN;50;C;A;X;X;;
HZ5763;W ALL SZN G HD;TEXTILE;SPORTSWEAR APP WOMEN;70;C;A;X;X;;
HZ5802;W ALL SZN G PT;TEXTILE;SPORTSWEAR APP WOMEN;65;C;A;X;X;;
HZ5950;GYM HIIT PO;ACCESSOIRES;TRAINING ACC HW ALL;30;C;A;;X;;
HZ5956;W L ESS SHP;ACCESSOIRES;TRAINING ACC HW ALL;30;C;A;;X;;
HZ6913;TIRO CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;20;C;A;X;X;;
HZ6925;UCL CLB IS;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
HZ6926;UCL CLB IS;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
HZ6928;UCL CLB IS;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
HZ7076;LK BOS PNT;TEXTILE;SPORTSWEAR APP KIDS;40;C;A;X;X;;
HZ7083;LB BOS SS TEE;TEXTILE;SPORTSWEAR APP KIDS;25;C;A;X;X;;
HZ7084;LB BOS SS TEE;TEXTILE;SPORTSWEAR APP KIDS;25;C;A;X;X;;
HZ7085;LB BOS SHORT;TEXTILE;SPORTSWEAR APP KIDS;28;C;A;X;X;;
HZ7086;LB BOS SHORT;TEXTILE;SPORTSWEAR APP KIDS;28;C;A;X;X;;
HZ7089;LG BOS TIGHTS;TEXTILE;SPORTSWEAR APP KIDS;25;C;A;X;X;;
HZ7261;SHORTS;TEXTILE;ORIGINALS APP WOMEN;35;C;A;X;;;
HZ8481;ESS INS HYB JKT;TEXTILE;SPORTSWEAR APP MEN;95;C;A;X;X;;
HZ8482;HO FUR PA;TEXTILE;SPORTSWEAR APP MEN;170;C;A;X;X;;
HZ8485;ESS INS VEST;TEXTILE;SPORTSWEAR APP MEN;70;C;A;X;X;;
HZ8617;AER LS HYGLM;TEXTILE;TRAINING APP WOMEN;40;C;A;X;X;;
HZ8618;AER LS HYGLM;TEXTILE;TRAINING APP WOMEN;40;C;A;X;X;;
HZ9066;TIRO23 L WB;TEXTILE;FOOTBALL APP GENERIC MEN;60;C;A;X;X;;
HZ9067;TIRO23 L WB;TEXTILE;FOOTBALL APP GENERIC MEN;60;C;A;X;X;;
HZ9131;aSMC FLEECE;TEXTILE;STELLA MCCARTNEY APP WOMEN;200;C;A;X;;;
HZ9140;aSMC WOVEN TT P;TEXTILE;STELLA MCCARTNEY APP WOMEN;180;C;A;X;;;
HZ9844;CLUB TEE;TEXTILE;TENNIS APP MEN;40;C;A;X;X;;
HZ9991;AFC PRE PNT;TEXTILE;FOOTBALL APP LICENSED MEN;65;C;A;X;X;;
IA0845;X SG TRN;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;;X;;
IA0859;PRED GL TRN J;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;;X;;
IA0874;PRED GL TRN;ACCESSOIRES;FOOTBALL ACC HW ALL;28;C;A;;X;;
IA0927;JUVE CLB HOME;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
IA0930;JUVE MINI HOME;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;X;X;;
IA0931;RM CLB HOME;ACCESSOIRES;FOOTBALL ACC HW ALL;20;C;A;X;X;;
IA0934;MUFC CLB HOME;ACCESSOIRES;FOOTBALL ACC HW ALL;20;C;A;X;X;;
IA0940;UCL COM;ACCESSOIRES;FOOTBALL ACC HW ALL;60;C;A;X;X;;
IA0944;UCL MINI;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;X;X;;
IA0945;UCL CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
IA0947;UCL CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
IA0948;UCL CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
IA0949;UCL CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;23;C;A;X;X;;
IA0952;UCL TRN;ACCESSOIRES;FOOTBALL ACC HW ALL;28;C;A;X;X;;
IA0953;UCL PRO;ACCESSOIRES;FOOTBALL ACC HW ALL;150;B;A;X;X;;
IA0954;UCL LGE;ACCESSOIRES;FOOTBALL ACC HW ALL;38;C;A;X;X;;
IA0968;MESSI MINI;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;X;X;;
IA0974;STARLANCER CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;X;X;;
IA0976;STARLANCER CLB;ACCESSOIRES;FOOTBALL ACC HW ALL;15;C;A;X;X;;
IA1479;A.RDY BEAN FITT;ACCESSOIRES;TRAINING ACC HW ALL;23;C;A;;X;;
IA1505;aSMC TPR TANK;TEXTILE;STELLA MCCARTNEY APP WOMEN;80;C;A;X;;;
IA1511;aSMC TPR 2IN1SH;TEXTILE;STELLA MCCARTNEY APP WOMEN;110;C;A;X;;;
IA1523;aSMC MTBR SW SP;TEXTILE;STELLA MCCARTNEY APP WOMEN;150;C;A;X;;;
IA1524;aSMC MTBR SW SH;TEXTILE;STELLA MCCARTNEY APP WOMEN;120;C;A;X;;;
IA1557;J BLUV Q3 FZHD;TEXTILE;SPORTSWEAR APP KIDS;55;C;A;X;X;;
IA1561;I BLUV Q3 CSET;TEXTILE;SPORTSWEAR APP KIDS;48;C;A;X;X;;
IA1567;JG BLUV Q3 TIGH;TEXTILE;SPORTSWEAR APP KIDS;35;C;A;X;X;;
IA1571;LK BLUV Q3 TS;TEXTILE;SPORTSWEAR APP KIDS;60;C;A;X;X;;
IA1572;LK BLUV Q3 TS;TEXTILE;SPORTSWEAR APP KIDS;60;C;A;X;X;;
IA1576;JG BLUV Q3SWEAT;TEXTILE;SPORTSWEAR APP KIDS;45;C;A;X;X;;
IA1584;J BLUV Q3 TS;TEXTILE;SPORTSWEAR APP KIDS;75;C;A;X;X;;
IA1623;TIRO23 L WB Y;TEXTILE;FOOTBALL APP GENERIC KIDS;50;C;A;X;X;;
IA1627;TIRO23 L WB Y;TEXTILE;FOOTBALL APP GENERIC KIDS;50;B;A;X;X;;
IA1841;aSMC BACKPACK;ACCESSOIRES;TRAINING ACC HW ALL;170;B;A;;X;;
IA2441;ESS TEE;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;;
IA2446;ESS TEE;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;;
IA2452;ESS SHORTS;TEXTILE;ORIGINALS APP MEN;70;C;A;X;;;
IA2453;ESS SHORTS;TEXTILE;ORIGINALS APP MEN;70;C;A;X;;;
IA2525;C Short FT;TEXTILE;ORIGINALS APP MEN;65;C;A;X;;;
IA2526;C Short FT;TEXTILE;ORIGINALS APP MEN;65;C;A;X;;;
IA2529;C Pants FT;TEXTILE;ORIGINALS APP MEN;75;B;A;X;;;
IA2531;C Hoodie FT;TEXTILE;ORIGINALS APP MEN;90;C;A;X;;;
IA2983;RMCF BP;ACCESSOIRES;FOOTBALL ACC HW ALL;43;C;A;X;X;;
IA3064;M TIRO REF TT;TEXTILE;SPORTSWEAR APP MEN;65;C;A;X;X;;
IA3065;M TIRO REF PT;TEXTILE;SPORTSWEAR APP MEN;60;C;A;X;X;;
IA3086;M CE Q3 WB;TEXTILE;SPORTSWEAR APP MEN;90;C;A;X;X;;
IA3114;LK TIBERIO TS;TEXTILE;SPORTSWEAR APP KIDS;55;C;A;X;X;;
IA3141;W BOLDBLOCK TS;TEXTILE;SPORTSWEAR APP WOMEN;95;C;A;X;X;;
IA3147;W TEAMSPORT TS;TEXTILE;SPORTSWEAR APP WOMEN;85;C;A;X;X;;
IA4776;BECKENBAUER TT;TEXTILE;ORIGINALS APP MEN;85;C;A;X;;X;
IA4777;BECKENBAUER TT;TEXTILE;ORIGINALS APP MEN;85;C;A;X;;X;
IA4778;BECKENBAUER TT;TEXTILE;ORIGINALS APP MEN;85;C;A;X;;X;
IA4785;SST TT;TEXTILE;ORIGINALS;85;C;A;X;;;
IA4786;BECKENBAUER TP;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;X;
IA4787;BECKENBAUER TP;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;X;
IA4788;BECKENBAUER TP;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;X;
IA4791;SST TP;TEXTILE;ORIGINALS;75;C;A;X;;;
IA4794;3-STRIPES PANT;TEXTILE;ORIGINALS APP MEN;75;B;A;X;;X;
IA4795;3-STRIPES PANT;TEXTILE;ORIGINALS APP MEN;75;B;A;X;;;
IA4799;ESSENTIALS TANK;TEXTILE;ORIGINALS APP MEN;25;B;A;X;;;
IA4800;ESSENTIALS TANK;TEXTILE;ORIGINALS APP MEN;25;B;A;X;;;
IA4801;ESSENTIALS TANK;TEXTILE;ORIGINALS APP MEN;25;B;A;X;;;
IA4808;TREFOIL TANK;TEXTILE;ORIGINALS APP MEN;30;B;A;X;;X;X
IA4810;TREFOIL TANK;TEXTILE;ORIGINALS APP MEN;30;C;A;X;;;
IA4811;TREFOIL TANK;TEXTILE;ORIGINALS APP MEN;30;B;A;X;;X;X
IA4812;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;;
IA4813;TREFOIL T-SHIRT;TEXTILE;ORIGINALS;35;C;A;X;;X;
IA4814;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;X;X
IA4815;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;A;A;X;;X;X
IA4816;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;X;
IA4817;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;;
IA4819;TREFOIL T-SHIRT;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;;
IA4833;ESSENTIALS PANT;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;;
IA4835;ESSENTIALS PANT;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;;
IA4836;ESSENTIALS PANT;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;;
IA4837;ESSENTIALS PANT;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;X;
IA4839;B+F TREFOIL TEE;TEXTILE;ORIGINALS APP MEN;45;C;A;X;;;
IA4843;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;X;
IA4844;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;;
IA4845;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;A;A;X;;X;X
IA4846;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;X;X
IA4847;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;;
IA4848;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;;
IA4849;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;X;
IA4850;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;X;
IA4852;3-STRIPES TEE;TEXTILE;ORIGINALS APP MEN;35;B;A;X;;X;
IA4854;TREFOIL CREW;TEXTILE;ORIGINALS APP MEN;65;A;A;X;;X;
IA4865;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;A;A;X;;;
IA4866;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;A;A;X;;;
IA4867;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;A;A;X;;;
IA4869;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;C;A;X;;;
IA4870;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;B;A;X;;;
IA4871;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;B;A;X;;;
IA4872;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;C;A;X;;X;
IA4873;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;C;A;X;;;
IA4874;ESSENTIAL TEE;TEXTILE;ORIGINALS APP MEN;30;C;A;X;;;
IA4877;3-STRIPES LS T;TEXTILE;ORIGINALS APP MEN;45;B;A;X;;;
IA4881;TREFOIL HOODY;TEXTILE;ORIGINALS APP MEN;75;A;A;X;;;
IA4883;TREFOIL HOODY;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;X;
IA4884;TREFOIL HOODY;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;;
IA4885;TREFOIL HOODY;TEXTILE;ORIGINALS APP MEN;75;B;A;X;;X;
IA4887;TREFOIL HOODY;TEXTILE;ORIGINALS APP MEN;75;B;A;X;;;
IA4899;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;A;A;X;;;
IA4900;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;A;A;X;;;
IA4901;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;C;A;X;;X;
IA4902;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;C;A;X;;;
IA5379;SLD CLX SHO CL;TEXTILE;SWIM APP MEN;35;A;A;X;X;;
IA6333;3S CARGO SHORT;TEXTILE;ORIGINALS APP MEN;60;B;A;X;;X;
IA6334;3S CARGO SHORT;TEXTILE;ORIGINALS APP MEN;60;C;A;X;;X;
IA6344;TECH TEE;TEXTILE;ORIGINALS APP MEN;35;C;A;X;;X;
IA6345;TECH TEE;TEXTILE;ORIGINALS APP MEN;35;A;A;X;;;
IA6351;3-STRIPE SHORT;TEXTILE;ORIGINALS APP MEN;55;C;A;X;;X;
IA6352;3-STRIPE SHORT;TEXTILE;ORIGINALS APP MEN;55;A;A;X;;X;
IA6353;3-STRIPE SHORT;TEXTILE;ORIGINALS APP MEN;55;B;A;X;;;
IA6354;3-STRIPE SHORT;TEXTILE;ORIGINALS APP MEN;55;B;A;X;;X;
IA6427;HOODIE;TEXTILE;ORIGINALS APP WOMEN;55;C;A;X;;;
IA6446;TIGHT;TEXTILE;ORIGINALS APP WOMEN;35;C;A;X;;;
IA6450;SHORTS;TEXTILE;ORIGINALS APP WOMEN;35;A;A;X;;;
IA6451;SHORTS;TEXTILE;ORIGINALS APP WOMEN;35;A;A;X;;;
IA6461;TEE;TEXTILE;ORIGINALS APP WOMEN;30;C;A;X;;X;
IA6464;TEE;TEXTILE;ORIGINALS APP WOMEN;30;C;A;X;;X;
IA6466;TEE;TEXTILE;ORIGINALS APP WOMEN;30;C;A;X;;;
IA6479;TRACK PANT;TEXTILE;ORIGINALS APP WOMEN;55;C;A;X;;X;
IA7092;BLOCK BOXER;TEXTILE;SWIM APP MEN;30;C;A;X;X;;
IA7158;TF CAPRI L;TEXTILE;TRAINING APP WOMEN;40;B;A;X;X;;
IA7242;MUFC PRESHI;TEXTILE;FOOTBALL APP LICENSED MEN;70;B;A;X;X;;
IA7265;MUFC TR TOP Y;TEXTILE;FOOTBALL APP LICENSED KIDS;65;A;A;X;X;;
IA7288;MUFC TR PNT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;60;A;A;X;X;;
IA7292;MUFC TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;B;A;X;X;;
IA7293;MUFC TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
IA7297;MUFC AW JKT;TEXTILE;FOOTBALL APP LICENSED MEN;100;C;A;X;X;;
IA7753;STRIPED CLX SL;TEXTILE;SWIM APP MEN;40;B;A;X;X;;
IA8481;MUFC TR PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;B;A;X;X;;X
IA8485;MUFC PRE JKT;TEXTILE;FOOTBALL APP LICENSED MEN;85;C;A;X;X;;
IA8486;MUFC PRE JKT;TEXTILE;FOOTBALL APP LICENSED MEN;85;A;A;X;X;;X
IA8492;MUFC TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;C;A;X;X;;
IA8557;MUFC D4GMD PNT;TEXTILE;FOOTBALL APP LICENSED MEN;80;C;A;X;X;;
IB0011;REAL H JSY Y;TEXTILE;FOOTBALL APP LICENSED KIDS;75;B;A;X;X;;
IB0314;WORDING CAP;ACCESSOIRES;TRAINING ACC HW ALL;18;C;A;X;X;;
IB0378;M 3S WV WB;TEXTILE;SPORTSWEAR APP MEN;70;B;A;X;X;;
IB0490;JUVE H JSY Y;TEXTILE;FOOTBALL APP LICENSED KIDS;75;C;A;X;X;;
IB0841;REAL TK SUIT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;120;C;A;X;X;;
IB0854;REAL TR PNT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;60;A;A;X;X;;
IB0856;REAL AW JKT;TEXTILE;FOOTBALL APP LICENSED MEN;100;A;A;X;X;;
IB0863;REAL PRE JKT;TEXTILE;FOOTBALL APP LICENSED MEN;85;B;A;X;X;;X
IB0865;REAL PRE PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;C;A;X;X;;
IB0866;REAL TK SUIT;TEXTILE;FOOTBALL APP LICENSED MEN;130;B;A;X;X;;X
IB0867;REAL TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;B;A;X;X;;
IB0868;REAL TR JSY;TEXTILE;FOOTBALL APP LICENSED MEN;50;A;A;X;X;;
IB0869;REAL TR JSY Y;TEXTILE;FOOTBALL APP LICENSED KIDS;45;C;A;X;X;;
IB0870;REAL TR SHO;TEXTILE;FOOTBALL APP LICENSED MEN;45;C;A;X;X;;
IB0871;REAL TR SHO Y;TEXTILE;FOOTBALL APP LICENSED KIDS;40;C;A;X;X;;
IB0873;REAL TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
IB0874;REAL TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;C;A;X;X;;
IB0875;REAL TR TOP Y;TEXTILE;FOOTBALL APP LICENSED KIDS;65;C;A;X;X;;
IB0876;REAL TR PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;A;A;X;X;;X
IB0877;REAL PRESHI;TEXTILE;FOOTBALL APP LICENSED MEN;70;C;A;X;X;;
IB1404;ALFE TS TEE;TEXTILE;ORIGINALS APP MEN;40;C;A;X;;X;
IB1418;3-STRIPES PANT;TEXTILE;ORIGINALS APP MEN;75;C;A;X;;X;
IB1527;FCB TR TOP;TEXTILE;FOOTBALL APP LICENSED MEN;75;A;A;X;X;;
IB1533;FCB TR TOP Y;TEXTILE;FOOTBALL APP LICENSED KIDS;65;A;A;X;X;;
IB1543;FCB TR PNT;TEXTILE;FOOTBALL APP LICENSED MEN;70;B;A;X;X;;X
IB1547;FCB TR PNT Y;TEXTILE;FOOTBALL APP LICENSED KIDS;60;C;A;X;X;;
IB1670;U BL TEE;TEXTILE;SPORTSWEAR APP KIDS;20;C;A;X;X;;
IB2008;C Hoodie FT;TEXTILE;ORIGINALS APP MEN;95;C;A;X;;;
IB2012;C Pants FT;TEXTILE;ORIGINALS APP MEN;90;C;A;X;;;
IB2017;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;C;A;X;;;
IB2385;TRX AR GR HB;ACCESSOIRES;OUTDOOR ACC HW ALL;25;C;A;;X;;
IB2390;RUN BELT;ACCESSOIRES;TRAINING ACC HW ALL;25;C;A;X;;;
IB2644;TECH FISHERMAN;ACCESSOIRES;TRAINING ACC HW ALL;28;C;A;;X;;
IB2645;BIG LOG BE C.R.;ACCESSOIRES;TRAINING ACC HW ALL;23;C;A;;X;;
IB2646;BBALL C VARSITY;ACCESSOIRES;TRAINING ACC HW ALL;25;C;A;;X;;
IB2653;DAILY BEANIE;ACCESSOIRES;TRAINING ACC HW ALL;15;C;A;X;X;;
IB2655;ESS BEANIE;ACCESSOIRES;TRAINING ACC HW ALL;20;C;A;X;X;;
IB2656;FISHERMAN BEANI;ACCESSOIRES;TRAINING ACC HW ALL;25;C;A;X;X;;
IB2657;ESS GLOVES;ACCESSOIRES;TRAINING ACC HW ALL;23;C;A;X;X;;
IB2658;COLD.RDY BEANIE;ACCESSOIRES;TRAINING ACC HW ALL;28;C;A;;X;;
IB2659;COLD.RDY NCKWRM;TEXTILE;TRAINING ACC HW ALL;28;C;A;X;X;;
IB2661;ESS BEANIE CUFF;ACCESSOIRES;TRAINING ACC HW ALL;20;C;A;X;X;;
IB2663;BASEBAL CAP PAD;ACCESSOIRES;TRAINING ACC HW ALL;28;C;A;;X;;
IB2666;TECH 3P CAP R.R;ACCESSOIRES;TRAINING ACC HW ALL;30;C;A;;X;;
IB3141;ESSENTIAL SHORT;TEXTILE;ORIGINALS APP MEN;45;C;A;X;;;
IB3181;TIRO PB JSY;TEXTILE;FOOTBALL APP GENERIC MEN;50;C;A;X;X;;
IB3236;BEANIE CUFF VAR;ACCESSOIRES;TRAINING ACC HW ALL;23;C;A;;X;;
IB3248;NSLV AERO.RDY;TEXTILE;TRAINING ACC HW ALL;16;C;A;X;X;;
IB3771;TIRO PB SHO;TEXTILE;FOOTBALL APP GENERIC MEN;35;B;A;X;X;;
IB4024;M BL FL HD;TEXTILE;SPORTSWEAR APP MEN;60;C;A;X;X;;
IB4025;M BL FL TC PT;TEXTILE;SPORTSWEAR APP MEN;50;C;A;X;X;;
IB4027;M 3S FL SWT;TEXTILE;SPORTSWEAR APP MEN;55;C;A;X;X;;
IB4028;M 3S FL HD;TEXTILE;SPORTSWEAR APP MEN;60;C;A;X;X;;
IB4030;M 3S FL TC PT;TEXTILE;SPORTSWEAR APP MEN;50;C;A;X;X;;
